data,regiao,estado,categoria,vendedor,receita,qtd_itens,meta
2023-01-07,Sul,RS,Roupas & Calçados,Bruno Costa,471.57,2,534.49
2023-01-07,Sudeste,RJ,Esportes & Lazer,Diana Santos,255.97,6,341.16
2023-01-08,Sul,RS,Eletrônicos,Gustavo Pereira,1893.67,5,2502.07
2023-01-08,Norte,AM,Roupas & Calçados,Fernanda Alves,370.49,3,364.47
2023-01-08,Norte,RO,Casa & Jardim,Carlos Lima,450.29,4,440.33
2023-01-08,Centro-Oeste,GO,Esportes & Lazer,Helena Martins,372.29,2,418.82
2023-01-08,Sudeste,ES,Roupas & Calçados,Ana Silva,495.88,6,591.85
2023-01-08,Sudeste,ES,Eletrônicos,Bruno Costa,1489.84,5,2039.17
2023-01-08,Centro-Oeste,GO,Casa & Jardim,Ana Silva,40.18,2,37.41
2023-01-08,Sudeste,RJ,Esportes & Lazer,Eduardo Rocha,99.17,1,146.26
2023-01-08,Nordeste,CE,Roupas & Calçados,Fernanda Alves,487.61,4,486.07
2023-01-08,Sul,RS,Eletrônicos,Eduardo Rocha,2103.39,4,3084.22
2023-01-08,Centro-Oeste,GO,Roupas & Calçados,Fernanda Alves,231.45,6,253.71
2023-01-08,Sudeste,RJ,Roupas & Calçados,Carlos Lima,326.04,4,404.54
2023-01-08,Sul,PR,Esportes & Lazer,Helena Martins,377.26,5,482.68
2023-01-09,Nordeste,PE,Alimentos & Bebidas,Carlos Lima,169.69,4,154.85
2023-01-09,Centro-Oeste,MS,Alimentos & Bebidas,Eduardo Rocha,36.95,2,32.71
2023-01-09,Sudeste,MG,Casa & Jardim,Bruno Costa,632.39,4,863.46
2023-01-09,Sudeste,MG,Alimentos & Bebidas,Diana Santos,220.81,5,263.33
2023-01-09,Sudeste,ES,Roupas & Calçados,Fernanda Alves,264.41,5,314.23
2023-01-09,Centro-Oeste,MS,Esportes & Lazer,Fernanda Alves,1161.21,2,1223.93
2023-01-09,Centro-Oeste,MS,Alimentos & Bebidas,Helena Martins,212.98,3,200.57
2023-01-09,Norte,PA,Casa & Jardim,Diana Santos,378.04,2,324.67
2023-01-09,Norte,PA,Casa & Jardim,Carlos Lima,108.99,2,91.5
2023-01-09,Centro-Oeste,MT,Eletrônicos,Fernanda Alves,1240.68,1,1335.74
2023-01-09,Norte,PA,Alimentos & Bebidas,Gustavo Pereira,87.71,3,80.14
2023-01-10,Sul,SC,Eletrônicos,Gustavo Pereira,3376.02,1,4284.73
2023-01-10,Sudeste,RJ,Esportes & Lazer,Diana Santos,328.66,2,481.89
2023-01-10,Sul,RS,Eletrônicos,Bruno Costa,848.09,6,1127.77
2023-01-10,Sul,PR,Casa & Jardim,Carlos Lima,593.79,4,720.76
2023-01-10,Sul,SC,Eletrônicos,Diana Santos,1795.64,5,2500.31
2023-01-10,Sudeste,SP,Casa & Jardim,Gustavo Pereira,256.74,5,340.72
2023-01-10,Sudeste,RJ,Esportes & Lazer,Diana Santos,741.38,4,934.64
2023-01-10,Sudeste,RJ,Alimentos & Bebidas,Carlos Lima,113.63,4,128.36
2023-01-10,Sul,PR,Eletrônicos,Helena Martins,303.6,2,409.99
2023-01-10,Sudeste,ES,Eletrônicos,Fernanda Alves,1318.69,5,1995.96
2023-01-11,Sul,RS,Alimentos & Bebidas,Fernanda Alves,210.95,4,212.28
2023-01-11,Sudeste,RJ,Alimentos & Bebidas,Helena Martins,51.44,3,58.84
2023-01-11,Norte,RO,Roupas & Calçados,Helena Martins,57.0,2,55.48
2023-01-11,Sul,SC,Roupas & Calçados,Eduardo Rocha,153.78,6,201.88
2023-01-11,Sul,SC,Eletrônicos,Fernanda Alves,748.75,3,961.52
2023-01-11,Sudeste,MG,Eletrônicos,Fernanda Alves,2717.33,4,3986.04
2023-01-11,Nordeste,CE,Casa & Jardim,Bruno Costa,460.22,1,502.2
2023-01-11,Norte,PA,Eletrônicos,Eduardo Rocha,2479.65,6,2618.89
2023-01-11,Centro-Oeste,DF,Esportes & Lazer,Bruno Costa,710.0,2,762.02
2023-01-11,Centro-Oeste,DF,Roupas & Calçados,Bruno Costa,175.29,2,196.95
2023-01-11,Sudeste,MG,Alimentos & Bebidas,Gustavo Pereira,82.03,2,90.01
2023-01-11,Sul,RS,Alimentos & Bebidas,Gustavo Pereira,128.54,1,145.95
2023-01-11,Sul,SC,Alimentos & Bebidas,Bruno Costa,167.83,5,163.89
2023-01-11,Centro-Oeste,MS,Eletrônicos,Gustavo Pereira,996.18,4,1112.34
2023-01-12,Sul,PR,Casa & Jardim,Fernanda Alves,459.55,4,494.99
2023-01-12,Nordeste,MA,Roupas & Calçados,Fernanda Alves,414.63,2,427.85
2023-01-12,Sudeste,MG,Alimentos & Bebidas,Gustavo Pereira,129.79,6,135.64
2023-01-12,Nordeste,PE,Roupas & Calçados,Gustavo Pereira,449.58,6,529.36
2023-01-12,Norte,PA,Esportes & Lazer,Diana Santos,451.36,5,425.69
2023-01-12,Sudeste,SP,Casa & Jardim,Carlos Lima,526.03,3,622.68
2023-01-12,Sudeste,SP,Roupas & Calçados,Diana Santos,93.61,2,131.05
2023-01-12,Centro-Oeste,MT,Roupas & Calçados,Diana Santos,332.87,3,365.93
2023-01-12,Sudeste,ES,Casa & Jardim,Gustavo Pereira,53.08,2,65.2
2023-01-13,Sudeste,ES,Alimentos & Bebidas,Helena Martins,84.1,6,97.95
2023-01-13,Norte,RO,Esportes & Lazer,Ana Silva,886.03,6,858.35
2023-01-13,Sul,RS,Casa & Jardim,Fernanda Alves,211.35,5,225.73
2023-01-13,Centro-Oeste,GO,Roupas & Calçados,Carlos Lima,66.17,5,68.14
2023-01-13,Sudeste,MG,Eletrônicos,Gustavo Pereira,459.49,4,636.0
2023-01-13,Sul,RS,Eletrônicos,Carlos Lima,1021.61,3,1522.85
2023-01-13,Nordeste,PE,Esportes & Lazer,Helena Martins,963.17,5,1155.89
2023-01-14,Centro-Oeste,DF,Eletrônicos,Diana Santos,469.72,3,574.75
2023-01-14,Nordeste,CE,Eletrônicos,Ana Silva,2031.54,6,2597.26
2023-01-14,Sul,RS,Eletrônicos,Helena Martins,2128.21,2,3200.72
2023-01-14,Sudeste,RJ,Casa & Jardim,Eduardo Rocha,525.7,4,630.91
2023-01-14,Centro-Oeste,MS,Alimentos & Bebidas,Ana Silva,136.55,2,114.19
2023-01-14,Sudeste,RJ,Casa & Jardim,Eduardo Rocha,598.47,1,690.4
2023-01-14,Nordeste,PE,Alimentos & Bebidas,Gustavo Pereira,82.22,4,85.89
2023-01-15,Sudeste,RJ,Casa & Jardim,Fernanda Alves,335.94,6,432.1
2023-01-15,Nordeste,PE,Alimentos & Bebidas,Carlos Lima,104.1,2,106.86
2023-01-15,Sul,PR,Roupas & Calçados,Ana Silva,279.71,6,333.95
2023-01-15,Sudeste,MG,Alimentos & Bebidas,Eduardo Rocha,180.96,1,208.83
2023-01-15,Centro-Oeste,MT,Alimentos & Bebidas,Eduardo Rocha,139.2,1,128.9
2023-01-15,Sudeste,MG,Roupas & Calçados,Diana Santos,187.07,6,261.17
2023-01-16,Sudeste,ES,Casa & Jardim,Eduardo Rocha,178.9,5,214.38
2023-01-16,Sul,RS,Roupas & Calçados,Helena Martins,207.47,6,271.18
2023-01-16,Sul,SC,Alimentos & Bebidas,Ana Silva,62.82,3,59.83
2023-01-16,Sudeste,MG,Roupas & Calçados,Helena Martins,131.56,2,186.58
2023-01-16,Sudeste,SP,Alimentos & Bebidas,Helena Martins,175.0,5,185.24
2023-01-16,Sudeste,MG,Roupas & Calçados,Eduardo Rocha,194.48,6,258.1
2023-01-16,Centro-Oeste,GO,Esportes & Lazer,Eduardo Rocha,900.55,6,960.37
2023-01-16,Sudeste,MG,Alimentos & Bebidas,Fernanda Alves,209.21,1,257.73
2023-01-16,Sudeste,RJ,Casa & Jardim,Fernanda Alves,497.46,2,575.85
2023-01-16,Nordeste,CE,Eletrônicos,Fernanda Alves,1331.1,4,1750.49
2023-01-16,Nordeste,CE,Roupas & Calçados,Ana Silva,490.45,5,497.58
2023-01-16,Nordeste,CE,Alimentos & Bebidas,Helena Martins,240.37,4,206.45
2023-01-17,Nordeste,PE,Esportes & Lazer,Eduardo Rocha,478.4,1,501.71
2023-01-17,Norte,RO,Roupas & Calçados,Diana Santos,233.74,4,239.31
2023-01-17,Norte,RO,Eletrônicos,Bruno Costa,1303.58,5,1431.95
2023-01-17,Nordeste,BA,Casa & Jardim,Ana Silva,338.95,4,330.85
2023-01-17,Sudeste,SP,Roupas & Calçados,Bruno Costa,249.73,1,316.38
2023-01-17,Sul,PR,Casa & Jardim,Fernanda Alves,759.37,4,832.34
2023-01-17,Sul,RS,Roupas & Calçados,Diana Santos,236.74,4,313.72
2023-01-17,Nordeste,BA,Roupas & Calçados,Diana Santos,84.17,1,95.47
2023-01-17,Norte,AM,Roupas & Calçados,Gustavo Pereira,174.69,4,154.77
2023-01-17,Sudeste,ES,Esportes & Lazer,Helena Martins,1191.04,2,1721.24
2023-01-17,Sudeste,SP,Roupas & Calçados,Eduardo Rocha,113.83,6,141.4
2023-01-18,Sudeste,ES,Casa & Jardim,Eduardo Rocha,693.75,4,946.8
2023-01-18,Sul,PR,Eletrônicos,Diana Santos,3031.25,4,3965.5
2023-01-18,Nordeste,MA,Alimentos & Bebidas,Helena Martins,223.43,5,226.88
2023-01-18,Sudeste,RJ,Roupas & Calçados,Ana Silva,457.97,4,651.27
2023-01-18,Sul,RS,Roupas & Calçados,Diana Santos,219.35,4,287.67
2023-01-18,Sudeste,ES,Esportes & Lazer,Diana Santos,827.61,3,1191.9
2023-01-18,Norte,AM,Roupas & Calçados,Bruno Costa,379.99,1,383.89
2023-01-18,Nordeste,PE,Roupas & Calçados,Carlos Lima,240.66,2,241.39
2023-01-19,Sul,RS,Alimentos & Bebidas,Eduardo Rocha,202.78,2,200.99
2023-01-19,Nordeste,BA,Roupas & Calçados,Fernanda Alves,371.04,5,400.35
2023-01-19,Sudeste,RJ,Eletrônicos,Carlos Lima,1671.25,3,2739.8
2023-01-19,Sudeste,ES,Casa & Jardim,Fernanda Alves,484.11,1,632.23
2023-01-19,Sudeste,MG,Eletrônicos,Eduardo Rocha,2332.62,1,3683.01
2023-01-19,Sul,PR,Roupas & Calçados,Helena Martins,121.74,1,144.66
2023-01-19,Nordeste,CE,Eletrônicos,Fernanda Alves,565.72,4,639.57
2023-01-19,Nordeste,MA,Alimentos & Bebidas,Fernanda Alves,32.35,1,27.8
2023-01-19,Sudeste,SP,Eletrônicos,Carlos Lima,967.27,6,1460.92
2023-01-19,Sudeste,ES,Casa & Jardim,Gustavo Pereira,284.4,5,362.32
2023-01-20,Centro-Oeste,DF,Casa & Jardim,Eduardo Rocha,64.19,1,69.38
2023-01-20,Sudeste,RJ,Esportes & Lazer,Gustavo Pereira,696.27,3,995.16
2023-01-20,Nordeste,BA,Esportes & Lazer,Gustavo Pereira,137.79,5,143.69
2023-01-20,Sul,PR,Roupas & Calçados,Fernanda Alves,485.46,4,608.55
2023-01-20,Sudeste,RJ,Esportes & Lazer,Helena Martins,111.09,4,150.76
2023-01-20,Sudeste,MG,Eletrônicos,Bruno Costa,255.75,4,376.34
2023-01-20,Sul,RS,Alimentos & Bebidas,Fernanda Alves,30.21,1,34.03
2023-01-20,Sudeste,MG,Alimentos & Bebidas,Carlos Lima,102.88,4,116.4
2023-01-21,Nordeste,BA,Eletrônicos,Fernanda Alves,1312.92,3,1768.47
2023-01-21,Centro-Oeste,DF,Eletrônicos,Helena Martins,1103.74,2,1360.75
2023-01-21,Sul,RS,Casa & Jardim,Diana Santos,475.12,5,583.39
2023-01-21,Sudeste,ES,Alimentos & Bebidas,Bruno Costa,25.96,6,32.52
2023-01-21,Centro-Oeste,MT,Alimentos & Bebidas,Eduardo Rocha,102.91,4,95.98
2023-01-21,Nordeste,BA,Roupas & Calçados,Bruno Costa,292.44,5,337.44
2023-01-21,Sudeste,MG,Alimentos & Bebidas,Bruno Costa,145.12,2,175.71
2023-01-21,Sudeste,SP,Roupas & Calçados,Helena Martins,109.51,2,151.26
2023-01-21,Centro-Oeste,DF,Roupas & Calçados,Bruno Costa,235.66,2,256.84
2023-01-21,Nordeste,PE,Roupas & Calçados,Carlos Lima,442.4,3,527.42
2023-01-21,Sul,SC,Roupas & Calçados,Gustavo Pereira,132.76,4,167.24
2023-01-22,Sul,SC,Alimentos & Bebidas,Diana Santos,51.96,6,56.87
2023-01-22,Sudeste,SP,Casa & Jardim,Carlos Lima,750.87,2,951.57
2023-01-22,Sudeste,MG,Esportes & Lazer,Diana Santos,470.03,4,589.13
2023-01-22,Nordeste,BA,Esportes & Lazer,Gustavo Pereira,105.37,3,115.58
2023-01-22,Sudeste,RJ,Casa & Jardim,Helena Martins,711.51,4,977.21
2023-01-22,Centro-Oeste,DF,Eletrônicos,Bruno Costa,3208.78,2,3521.12
2023-01-22,Sudeste,RJ,Eletrônicos,Helena Martins,1412.91,4,2285.99
2023-01-22,Sudeste,ES,Casa & Jardim,Carlos Lima,227.88,1,268.21
2023-01-22,Sul,SC,Alimentos & Bebidas,Ana Silva,182.23,2,192.28
2023-01-22,Norte,TO,Casa & Jardim,Carlos Lima,645.39,6,601.97
2023-01-22,Sul,SC,Alimentos & Bebidas,Gustavo Pereira,55.7,4,55.93
2023-01-22,Sudeste,MG,Roupas & Calçados,Bruno Costa,191.77,4,278.17
2023-01-22,Sudeste,ES,Eletrônicos,Ana Silva,3299.78,2,5313.59
2023-01-22,Sudeste,SP,Esportes & Lazer,Fernanda Alves,941.9,5,1353.2
2023-01-23,Sudeste,RJ,Roupas & Calçados,Fernanda Alves,350.63,1,443.64
2023-01-23,Nordeste,PE,Alimentos & Bebidas,Ana Silva,145.53,4,147.68
2023-01-23,Sul,SC,Esportes & Lazer,Helena Martins,926.27,3,1065.16
2023-01-23,Nordeste,CE,Roupas & Calçados,Helena Martins,167.02,4,201.26
2023-01-23,Nordeste,BA,Alimentos & Bebidas,Fernanda Alves,230.11,5,213.61
2023-01-23,Sudeste,RJ,Esportes & Lazer,Diana Santos,1037.06,4,1293.83
2023-01-23,Sudeste,ES,Casa & Jardim,Ana Silva,418.57,3,567.25
2023-01-24,Nordeste,CE,Esportes & Lazer,Diana Santos,618.6,6,692.28
2023-01-24,Sudeste,RJ,Casa & Jardim,Carlos Lima,730.59,2,972.64
2023-01-24,Sudeste,SP,Esportes & Lazer,Gustavo Pereira,997.57,6,1424.36
2023-01-24,Nordeste,PE,Alimentos & Bebidas,Gustavo Pereira,247.06,3,219.24
2023-01-24,Sudeste,SP,Casa & Jardim,Diana Santos,785.6,1,913.77
2023-01-24,Sudeste,MG,Alimentos & Bebidas,Fernanda Alves,51.37,6,55.99
2023-01-25,Sudeste,MG,Alimentos & Bebidas,Gustavo Pereira,228.26,5,263.81
2023-01-25,Nordeste,BA,Casa & Jardim,Diana Santos,371.69,2,391.53
2023-01-25,Sudeste,RJ,Esportes & Lazer,Fernanda Alves,160.64,3,218.36
2023-01-25,Sul,PR,Alimentos & Bebidas,Carlos Lima,35.27,3,39.61
2023-01-26,Sudeste,RJ,Eletrônicos,Gustavo Pereira,2781.62,5,4581.39
2023-01-26,Nordeste,PE,Esportes & Lazer,Carlos Lima,941.1,1,986.21
2023-01-26,Sudeste,SP,Roupas & Calçados,Diana Santos,446.0,6,543.14
2023-01-26,Nordeste,CE,Alimentos & Bebidas,Carlos Lima,22.07,3,22.2
2023-01-26,Sudeste,RJ,Casa & Jardim,Gustavo Pereira,257.98,1,321.69
2023-01-26,Sudeste,MG,Eletrônicos,Ana Silva,944.09,3,1481.02
2023-01-26,Sudeste,SP,Alimentos & Bebidas,Eduardo Rocha,233.21,4,275.27
2023-01-26,Sudeste,SP,Casa & Jardim,Fernanda Alves,542.97,6,711.79
2023-01-26,Sudeste,ES,Roupas & Calçados,Helena Martins,280.1,6,356.05
2023-01-26,Nordeste,BA,Roupas & Calçados,Fernanda Alves,283.22,4,295.94
2023-01-26,Sudeste,MG,Roupas & Calçados,Carlos Lima,191.58,2,236.28
2023-01-26,Sudeste,RJ,Eletrônicos,Gustavo Pereira,1890.15,2,2763.42
2023-01-26,Sudeste,RJ,Roupas & Calçados,Eduardo Rocha,101.32,4,130.94
2023-01-27,Centro-Oeste,MT,Alimentos & Bebidas,Ana Silva,29.43,6,27.07
2023-01-27,Centro-Oeste,GO,Roupas & Calçados,Helena Martins,397.48,2,455.69
2023-01-27,Sudeste,RJ,Alimentos & Bebidas,Gustavo Pereira,74.36,4,85.49
2023-01-27,Sul,PR,Roupas & Calçados,Diana Santos,226.14,1,258.68
2023-01-27,Sudeste,SP,Esportes & Lazer,Diana Santos,502.15,6,647.88
2023-01-27,Sudeste,MG,Roupas & Calçados,Fernanda Alves,440.35,3,585.86
2023-01-27,Sudeste,MG,Roupas & Calçados,Eduardo Rocha,425.93,6,574.19
2023-01-27,Centro-Oeste,GO,Alimentos & Bebidas,Eduardo Rocha,65.08,5,53.95
2023-01-28,Sul,PR,Alimentos & Bebidas,Fernanda Alves,223.98,1,247.96
2023-01-28,Nordeste,CE,Alimentos & Bebidas,Gustavo Pereira,183.13,6,183.33
2023-01-28,Sudeste,MG,Esportes & Lazer,Ana Silva,1182.6,6,1784.22
2023-01-28,Sudeste,SP,Roupas & Calçados,Gustavo Pereira,318.32,5,404.61
2023-01-28,Sul,RS,Roupas & Calçados,Eduardo Rocha,424.9,5,527.16
2023-01-28,Sul,PR,Esportes & Lazer,Diana Santos,620.23,1,848.58
2023-01-28,Nordeste,CE,Casa & Jardim,Fernanda Alves,789.99,3,748.3
2023-01-28,Sudeste,ES,Eletrônicos,Gustavo Pereira,1379.01,2,1871.85
2023-01-28,Sudeste,MG,Casa & Jardim,Gustavo Pereira,48.65,5,55.48
2023-01-28,Sul,RS,Eletrônicos,Helena Martins,2939.43,3,4163.35
2023-01-29,Norte,AM,Alimentos & Bebidas,Helena Martins,33.57,2,28.01
2023-01-29,Centro-Oeste,MS,Alimentos & Bebidas,Bruno Costa,100.07,5,83.05
2023-01-29,Nordeste,MA,Eletrônicos,Bruno Costa,620.94,3,741.46
2023-01-29,Sudeste,RJ,Casa & Jardim,Fernanda Alves,36.85,3,43.58
2023-01-29,Nordeste,PE,Eletrônicos,Helena Martins,231.83,5,287.08
2023-01-29,Nordeste,BA,Roupas & Calçados,Gustavo Pereira,134.53,4,133.55
2023-01-29,Sudeste,SP,Roupas & Calçados,Gustavo Pereira,460.7,5,652.64
2023-01-29,Sudeste,RJ,Esportes & Lazer,Helena Martins,997.93,6,1367.42
2023-01-29,Nordeste,BA,Casa & Jardim,Carlos Lima,419.25,3,415.45
2023-01-29,Sudeste,ES,Alimentos & Bebidas,Diana Santos,55.11,1,61.01
2023-01-30,Sudeste,SP,Casa & Jardim,Carlos Lima,268.89,1,320.88
2023-01-30,Sudeste,ES,Roupas & Calçados,Fernanda Alves,66.97,6,92.47
2023-01-30,Sudeste,MG,Eletrônicos,Helena Martins,3154.89,4,5008.59
2023-01-30,Sudeste,MG,Casa & Jardim,Helena Martins,234.68,6,319.06
2023-01-31,Nordeste,PE,Roupas & Calçados,Eduardo Rocha,259.59,5,276.05
2023-01-31,Sul,RS,Eletrônicos,Bruno Costa,1005.43,4,1476.41
2023-01-31,Nordeste,CE,Esportes & Lazer,Ana Silva,645.3,4,813.11
2023-01-31,Sul,SC,Esportes & Lazer,Bruno Costa,1156.01,5,1510.22
2023-01-31,Sudeste,RJ,Alimentos & Bebidas,Helena Martins,80.29,3,89.9
2023-01-31,Sudeste,ES,Alimentos & Bebidas,Bruno Costa,220.45,1,242.14
2023-01-31,Sudeste,MG,Alimentos & Bebidas,Carlos Lima,156.93,6,169.37
2023-01-31,Sul,SC,Alimentos & Bebidas,Eduardo Rocha,241.31,5,253.97
2023-01-31,Centro-Oeste,MT,Alimentos & Bebidas,Fernanda Alves,207.58,4,183.5
2023-01-31,Sudeste,MG,Alimentos & Bebidas,Eduardo Rocha,200.42,5,249.57
2023-01-31,Sul,RS,Eletrônicos,Bruno Costa,209.62,6,303.47
2023-01-31,Sudeste,RJ,Esportes & Lazer,Gustavo Pereira,120.31,6,160.2
2023-02-01,Norte,RO,Eletrônicos,Bruno Costa,2888.83,2,3476.01
2023-02-01,Centro-Oeste,MT,Casa & Jardim,Bruno Costa,538.83,4,511.42
2023-02-01,Sudeste,SP,Roupas & Calçados,Eduardo Rocha,473.59,6,633.92
2023-02-01,Centro-Oeste,MS,Esportes & Lazer,Bruno Costa,361.01,1,375.08
2023-02-01,Norte,RO,Eletrônicos,Diana Santos,1209.79,1,1227.17
2023-02-01,Sul,PR,Roupas & Calçados,Fernanda Alves,176.03,1,218.64
2023-02-01,Sudeste,ES,Eletrônicos,Gustavo Pereira,1897.41,2,2983.03
2023-02-02,Sul,PR,Esportes & Lazer,Diana Santos,72.72,3,92.49
2023-02-02,Sudeste,RJ,Alimentos & Bebidas,Carlos Lima,112.03,4,137.51
2023-02-02,Sudeste,RJ,Esportes & Lazer,Diana Santos,345.38,4,452.68
2023-02-02,Sudeste,ES,Eletrônicos,Fernanda Alves,2397.37,5,3769.7
2023-02-02,Sudeste,RJ,Roupas & Calçados,Helena Martins,441.11,1,587.61
2023-02-02,Centro-Oeste,DF,Roupas & Calçados,Diana Santos,75.03,5,81.63
2023-02-02,Nordeste,CE,Roupas & Calçados,Gustavo Pereira,254.5,2,260.8
2023-02-02,Centro-Oeste,GO,Alimentos & Bebidas,Bruno Costa,220.33,5,203.32
2023-02-02,Nordeste,CE,Roupas & Calçados,Diana Santos,110.02,1,111.64
2023-02-02,Sudeste,RJ,Alimentos & Bebidas,Ana Silva,47.97,3,53.45
2023-02-02,Sudeste,MG,Roupas & Calçados,Bruno Costa,211.76,6,279.84
2023-02-02,Sudeste,RJ,Alimentos & Bebidas,Fernanda Alves,223.86,2,258.97
2023-02-02,Sudeste,RJ,Roupas & Calçados,Fernanda Alves,223.69,3,271.04
2023-02-02,Sudeste,MG,Roupas & Calçados,Bruno Costa,380.34,4,460.31
2023-02-02,Sudeste,SP,Alimentos & Bebidas,Ana Silva,68.62,2,80.79
2023-02-02,Centro-Oeste,GO,Alimentos & Bebidas,Carlos Lima,31.94,4,31.35
2023-02-02,Sudeste,RJ,Eletrônicos,Bruno Costa,2685.72,3,3915.98
2023-02-02,Sudeste,MG,Casa & Jardim,Bruno Costa,464.64,2,593.03
2023-02-02,Nordeste,MA,Casa & Jardim,Eduardo Rocha,348.14,4,345.99
2023-02-02,Nordeste,CE,Roupas & Calçados,Diana Santos,219.0,6,220.23
2023-02-02,Sudeste,SP,Alimentos & Bebidas,Helena Martins,150.02,6,161.38
2023-02-02,Centro-Oeste,GO,Alimentos & Bebidas,Diana Santos,131.67,6,130.36
2023-02-02,Sudeste,RJ,Casa & Jardim,Ana Silva,563.64,4,699.8
2023-02-03,Sudeste,MG,Casa & Jardim,Diana Santos,304.23,2,367.63
2023-02-03,Sudeste,ES,Roupas & Calçados,Diana Santos,460.31,6,551.97
